Date,Open,High,Low,Close,Adj Close,Volume
2022-04-19,40828.18,41672.96,40618.63,41502.75,41502.75,25303206547
2022-04-20,41501.75,42126.3,40961.1,41374.38,41374.38,27819532341
2022-04-21,41371.52,42893.58,40063.83,40527.36,40527.36,35372786395
2022-04-22,40525.86,40777.76,39315.42,39740.32,39740.32,28011716745
2022-04-23,39738.72,39935.86,39352.2,39486.73,39486.73,16138021249
2022-04-24,39478.38,39845.93,39233.54,39469.29,39469.29,17964398167
2022-04-25,39472.61,40491.75,38338.38,40458.31,40458.31,35445730570
2022-04-26,40448.42,40713.89,37884.98,38117.46,38117.46,34569088416
2022-04-27,38120.3,39397.92,37997.31,39241.12,39241.12,30981015184
2022-04-28,39241.43,40269.46,38941.42,39773.83,39773.83,33903704907
2022-04-29,39768.62,39887.27,38235.54,38609.82,38609.82,30882994649
2022-04-30,38605.86,38771.21,37697.94,37714.88,37714.88,23895713731
2022-05-01,37713.27,38627.86,37585.79,38469.09,38469.09,27002760110
2022-05-02,38472.19,39074.97,38156.56,38529.33,38529.33,32922642426
2022-05-03,38528.11,38630.0,37585.62,37750.45,37750.45,27326943244
2022-05-04,37748.01,39902.95,37732.06,39698.37,39698.37,36754404490
2022-05-05,39695.75,39789.28,35856.52,36575.14,36575.14,43106256317
2022-05-06,36573.18,36624.36,35482.13,36040.92,36040.92,37795577489
2022-05-07,36042.5,36129.93,34940.82,35501.95,35501.95,24375896406
2022-05-08,35502.94,35502.94,33878.96,34059.27,34059.27,36763041910
2022-05-09,34060.02,34222.07,30296.95,30296.95,30296.95,63355494961
2022-05-10,30273.65,32596.31,29944.8,31022.91,31022.91,59811038817
2022-05-11,31016.18,32013.4,28170.41,28936.36,28936.36,70388855818
2022-05-12,28936.73,30032.44,26350.49,29047.75,29047.75,66989173272
2022-05-13,29030.91,30924.8,28782.33,29283.1,29283.1,42841124537
2022-05-14,29285.64,30192.8,28702.91,30101.27,30101.27,28579868620
2022-05-15,30098.59,31308.19,29527.74,31305.11,31305.11,25835372065
2022-05-16,31304.38,31305.34,29251.88,29862.92,29862.92,32613897286
2022-05-17,29862.41,30694.49,29570.3,30425.86,30425.86,29101473475
2022-05-18,30424.48,30618.72,28720.27,28720.27,28720.27,31285268319
2022-05-19,28720.36,30430.75,28708.96,30314.33,30314.33,33773447707
2022-05-20,30311.12,30664.98,28793.61,29200.74,29200.74,30749382605
2022-05-21,29199.86,29588.87,29027.39,29432.23,29432.23,17274840442
2022-05-22,29432.47,30425.86,29275.18,30323.72,30323.72,21631532270
2022-05-23,30309.4,30590.59,28975.56,29098.91,29098.91,31483454557
2022-05-24,29101.12,29774.36,28786.59,29655.59,29655.59,26616506245
2022-05-25,29653.13,30157.79,29384.95,29562.36,29562.36,27525063551
2022-05-26,29564.78,29834.16,28261.91,29267.22,29267.22,36774325352
2022-05-27,29251.14,29346.94,28326.61,28627.57,28627.57,36582005748
2022-05-28,28622.62,28814.9,28554.57,28814.9,28814.9,35519577634
2022-05-29,29019.87,29498.01,28841.11,29445.96,29445.96,18093886409
2022-05-30,29443.37,31949.63,29303.57,31726.39,31726.39,39277993274
2022-05-31,31723.87,32249.86,31286.15,31792.31,31792.31,33538210634
2022-06-01,31792.55,31957.29,29501.59,29799.08,29799.08,41135817341
2022-06-02,29794.89,30604.73,29652.71,30467.49,30467.49,29083562061
2022-06-03,30467.81,30633.04,29375.69,29704.39,29704.39,26175547452
2022-06-04,29706.14,29930.56,29500.01,29832.91,29832.91,16588370958
2022-06-05,29835.12,30117.74,29574.45,29906.66,29906.66,17264085441
2022-06-06,29910.28,31693.29,29894.19,31370.67,31370.67,31947336829
2022-06-07,31371.74,31489.68,29311.68,31155.48,31155.48,40770974039
2022-06-08,31151.48,31253.69,29944.4,30214.36,30214.36,30242059107
2022-06-09,30215.28,30609.31,30020.27,30112.0,30112.0,21692004719
2022-06-10,30110.33,30245.81,28978.15,29083.8,29083.8,29867476527
2022-06-11,29084.67,29401.92,28236.21,28360.81,28360.81,27246574439
2022-06-12,28373.51,28502.69,26762.65,26762.65,26762.65,34163220274
2022-06-13,26737.58,26795.59,22141.26,22487.39,22487.39,68204556440
2022-06-14,22487.99,23018.95,20950.82,22206.79,22206.79,50913575242
2022-06-15,22196.73,22642.67,20178.38,22572.84,22572.84,54912007015
2022-06-16,22576.3,22868.92,20265.23,20381.65,20381.65,31183975654
2022-06-17,20385.72,21243.31,20326.52,20471.48,20471.48,27132421514
2022-06-18,20473.43,20736.04,17708.62,19017.64,19017.64,42009436760
2022-06-19,19010.9,20683.82,18067.15,20553.27,20553.27,35329942625
2022-06-20,20553.37,20913.32,19689.17,20599.54,20599.54,30818458597
2022-06-21,20594.29,21620.63,20415.06,20710.6,20710.6,28970212744
2022-06-22,20719.41,20835.75,19848.08,19987.03,19987.03,28574793478
2022-06-23,19986.61,21135.76,19950.12,21085.88,21085.88,26188097173
2022-06-24,21084.65,21472.92,20777.51,21231.66,21231.66,24957784918
2022-06-25,21233.61,21520.91,20964.59,21502.34,21502.34,18372538715
2022-06-26,21496.49,21783.72,21016.27,21027.29,21027.29,18027170497
2022-06-27,21028.24,21478.09,20620.2,20735.48,20735.48,20965695707
2022-06-28,20731.54,21164.42,20228.81,20280.63,20280.63,21381535161
2022-06-29,20281.17,20364.16,19937.79,20104.02,20104.02,23552740328
2022-06-30,20108.31,20141.16,18729.66,19784.73,19784.73,26267239923
2022-07-01,19820.47,20632.67,19073.71,19269.37,19269.37,30767551159
2022-07-02,19274.84,19371.75,19027.08,19242.26,19242.26,18100418740
