Date,BTC-USD,ETH-USD,LTC-USD,Profile ID,Return,Risk,Sharpe
8/11/2018,0.01795072,-0.03611826,-0.017342987,221,0.52484429,0.886016655,0.52484429
8/12/2018,0.004282268,-0.007885505,0.016620973,222,0.395921748,0.744458287,0.395921748
8/13/2018,-0.003972993,-0.103514097,-0.041800101,223,0.439916522,0.852320577,0.439916522
8/14/2018,-0.015539327,-0.026388356,-0.040281442,224,0.376875636,0.777767292,0.376875636
8/15/2018,0.017550821,0.012296992,-0.001099707,225,0.440911096,0.8942855,0.440911096
8/16/2018,0.004154699,0.02015158,0.015779817,226,0.460080819,0.816914341,0.460080819
8/17/2018,0.038817755,0.096094428,0.11109104,227,0.457839918,0.899035027,0.457839918
8/18/2018,-0.023838143,-0.063091882,-0.068769306,228,0.33617997,0.920673873,0.33617997
8/19/2018,0.012813368,0.016970353,0.011522346,229,0.476131953,0.890161569,0.476131953
8/20/2018,-0.030362415,-0.08812286,-0.068001381,230,0.48520358,0.81713455,0.48520358
8/21/2018,0.028569255,0.027777778,0.043518519,231,0.480250085,0.836962781,0.480250085
8/22/2018,-0.017268322,-0.037596652,-0.018278616,232,0.374457666,0.909429791,0.374457666
8/23/2018,0.024804327,0.02122798,0.040130152,233,0.486554729,0.820592586,0.486554729
8/24/2018,0.028321867,0.021183688,0.006777894,234,0.392203822,0.868318382,0.392203822
8/25/2018,0.006433074,-0.011732693,-0.000345244,235,0.39205728,0.879248036,0.39205728
8/26/2018,-0.008269766,-0.015912748,-0.010015541,236,0.389447336,0.904272325,0.389447336
8/27/2018,0.02644597,0.037790698,0.050933194,237,0.373173607,0.860396127,0.373173607
8/28/2018,0.030740896,0.038165266,0.045975104,238,0.424486122,0.834782942,0.424486122
8/29/2018,-0.006921937,-0.024249578,-0.019834973,239,0.503491516,0.824370038,0.503491516
8/30/2018,-0.009781245,-0.0179738,-0.023474178,240,0.469195673,0.780230823,0.469195673
8/31/2018,0.008505022,-0.003906937,0.026690981,241,0.410617806,0.930386113,0.410617806
9/1/2018,0.02211982,0.04360424,0.064911997,242,0.388832268,0.841028758,0.388832268
9/2/2018,0.011047857,-0.00328435,-0.004548901,243,0.331824743,0.947407515,0.331824743
9/3/2018,-0.001740752,-0.017359106,-0.004265042,244,0.419021605,0.769308015,0.419021605
9/4/2018,0.013994375,-0.012238125,0.035796237,245,0.463203911,0.778487254,0.463203911
9/5/2018,-0.077269257,-0.186861263,-0.136907399,246,0.493846248,0.876613583,0.493846248
9/6/2018,-0.038814456,-0.009124952,-0.016255989,247,0.450490205,0.797047855,0.450490205
9/7/2018,-0.009511163,-0.056513618,-0.022438685,248,0.420041444,0.863803468,0.420041444
9/8/2018,-0.037279634,-0.088627993,-0.052669039,249,0.457519769,0.85889333,0.457519769
